[2025-12-01T02:47:06.793+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: carga_fato_recebimentos.load_fato_recebimentos scheduled__2025-11-30T00:00:00+00:00 [queued]>
[2025-12-01T02:47:06.801+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: carga_fato_recebimentos.load_fato_recebimentos scheduled__2025-11-30T00:00:00+00:00 [queued]>
[2025-12-01T02:47:06.801+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 3
[2025-12-01T02:47:09.234+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987453 não encontrada. Pulando.
[2025-12-01T02:47:09.234+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987454 não encontrada. Pulando.
[2025-12-01T02:47:09.235+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987455 não encontrada. Pulando.
[2025-12-01T02:47:09.235+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987456 não encontrada. Pulando.
[2025-12-01T02:47:09.235+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987457 não encontrada. Pulando.
[2025-12-01T02:47:09.235+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987458 não encontrada. Pulando.
[2025-12-01T02:47:09.236+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987459 não encontrada. Pulando.
[2025-12-01T02:47:09.236+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987460 não encontrada. Pulando.
[2025-12-01T02:47:09.237+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987461 não encontrada. Pulando.
[2025-12-01T02:47:09.238+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987462 não encontrada. Pulando.
[2025-12-01T02:47:09.238+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987463 não encontrada. Pulando.
[2025-12-01T02:47:09.239+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987464 não encontrada. Pulando.
[2025-12-01T02:47:09.239+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987465 não encontrada. Pulando.
[2025-12-01T02:47:09.239+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987466 não encontrada. Pulando.
[2025-12-01T02:47:09.239+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987467 não encontrada. Pulando.
[2025-12-01T02:47:09.240+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987468 não encontrada. Pulando.
[2025-12-01T02:47:09.240+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987469 não encontrada. Pulando.
[2025-12-01T02:47:09.240+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987470 não encontrada. Pulando.
[2025-12-01T02:47:09.241+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987471 não encontrada. Pulando.
[2025-12-01T02:47:09.241+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987472 não encontrada. Pulando.
[2025-12-01T02:47:09.241+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987473 não encontrada. Pulando.
[2025-12-01T02:47:09.242+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987474 não encontrada. Pulando.
[2025-12-01T02:47:09.242+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987475 não encontrada. Pulando.
[2025-12-01T02:47:09.242+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987476 não encontrada. Pulando.
[2025-12-01T02:47:09.242+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987477 não encontrada. Pulando.
[2025-12-01T02:47:09.243+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987478 não encontrada. Pulando.
[2025-12-01T02:47:09.243+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987479 não encontrada. Pulando.
[2025-12-01T02:47:09.243+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987480 não encontrada. Pulando.
[2025-12-01T02:47:09.244+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987481 não encontrada. Pulando.
[2025-12-01T02:47:09.244+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987482 não encontrada. Pulando.
[2025-12-01T02:47:09.244+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987483 não encontrada. Pulando.
[2025-12-01T02:47:09.244+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987484 não encontrada. Pulando.
[2025-12-01T02:47:09.245+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987485 não encontrada. Pulando.
[2025-12-01T02:47:09.245+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987486 não encontrada. Pulando.
[2025-12-01T02:47:09.245+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987487 não encontrada. Pulando.
[2025-12-01T02:47:09.246+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987488 não encontrada. Pulando.
[2025-12-01T02:47:09.246+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987489 não encontrada. Pulando.
[2025-12-01T02:47:09.246+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987490 não encontrada. Pulando.
[2025-12-01T02:47:09.247+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987491 não encontrada. Pulando.
[2025-12-01T02:47:09.247+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987492 não encontrada. Pulando.
[2025-12-01T02:47:09.248+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987493 não encontrada. Pulando.
[2025-12-01T02:47:09.248+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987494 não encontrada. Pulando.
[2025-12-01T02:47:09.248+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987495 não encontrada. Pulando.
[2025-12-01T02:47:09.249+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987496 não encontrada. Pulando.
[2025-12-01T02:47:09.249+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987497 não encontrada. Pulando.
[2025-12-01T02:47:09.249+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987498 não encontrada. Pulando.
[2025-12-01T02:47:09.249+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987499 não encontrada. Pulando.
[2025-12-01T02:47:09.250+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987500 não encontrada. Pulando.
[2025-12-01T02:47:09.250+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987501 não encontrada. Pulando.
[2025-12-01T02:47:09.250+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987502 não encontrada. Pulando.
[2025-12-01T02:47:09.251+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987503 não encontrada. Pulando.
[2025-12-01T02:47:09.251+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987504 não encontrada. Pulando.
[2025-12-01T02:47:09.251+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987505 não encontrada. Pulando.
[2025-12-01T02:47:09.251+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987506 não encontrada. Pulando.
[2025-12-01T02:47:09.252+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987507 não encontrada. Pulando.
[2025-12-01T02:47:09.252+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987508 não encontrada. Pulando.
[2025-12-01T02:47:09.253+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987509 não encontrada. Pulando.
[2025-12-01T02:47:09.254+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987510 não encontrada. Pulando.
[2025-12-01T02:47:09.254+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987511 não encontrada. Pulando.
[2025-12-01T02:47:09.255+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987512 não encontrada. Pulando.
[2025-12-01T02:47:09.255+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987513 não encontrada. Pulando.
[2025-12-01T02:47:09.256+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987514 não encontrada. Pulando.
[2025-12-01T02:47:09.256+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987515 não encontrada. Pulando.
[2025-12-01T02:47:09.256+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987516 não encontrada. Pulando.
[2025-12-01T02:47:09.256+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987517 não encontrada. Pulando.
[2025-12-01T02:47:09.257+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987518 não encontrada. Pulando.
[2025-12-01T02:47:09.257+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987519 não encontrada. Pulando.
[2025-12-01T02:47:09.257+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987520 não encontrada. Pulando.
[2025-12-01T02:47:09.258+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987521 não encontrada. Pulando.
[2025-12-01T02:47:09.258+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987522 não encontrada. Pulando.
[2025-12-01T02:47:09.258+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987523 não encontrada. Pulando.
[2025-12-01T02:47:09.259+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987524 não encontrada. Pulando.
[2025-12-01T02:47:09.259+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987525 não encontrada. Pulando.
[2025-12-01T02:47:09.259+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987526 não encontrada. Pulando.
[2025-12-01T02:47:09.259+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987527 não encontrada. Pulando.
[2025-12-01T02:47:09.260+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987528 não encontrada. Pulando.
[2025-12-01T02:47:09.260+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987529 não encontrada. Pulando.
[2025-12-01T02:47:09.260+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987530 não encontrada. Pulando.
[2025-12-01T02:47:09.261+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987531 não encontrada. Pulando.
[2025-12-01T02:47:09.261+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987532 não encontrada. Pulando.
[2025-12-01T02:47:09.261+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987533 não encontrada. Pulando.
[2025-12-01T02:47:09.262+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987534 não encontrada. Pulando.
[2025-12-01T02:47:09.262+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987535 não encontrada. Pulando.
[2025-12-01T02:47:09.262+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987536 não encontrada. Pulando.
[2025-12-01T02:47:09.263+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987537 não encontrada. Pulando.
[2025-12-01T02:47:09.263+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987538 não encontrada. Pulando.
[2025-12-01T02:47:09.264+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987539 não encontrada. Pulando.
[2025-12-01T02:47:09.264+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987540 não encontrada. Pulando.
[2025-12-01T02:47:09.264+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987541 não encontrada. Pulando.
[2025-12-01T02:47:09.265+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987542 não encontrada. Pulando.
[2025-12-01T02:47:09.265+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987543 não encontrada. Pulando.
[2025-12-01T02:47:09.265+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987544 não encontrada. Pulando.
[2025-12-01T02:47:09.266+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987545 não encontrada. Pulando.
[2025-12-01T02:47:09.266+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987546 não encontrada. Pulando.
[2025-12-01T02:47:09.266+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987547 não encontrada. Pulando.
[2025-12-01T02:47:09.267+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987548 não encontrada. Pulando.
